Year,Month,Day,Hour,Device_ID,Module_Key,OAT
2017,May,16,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.83
2017,May,16,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.89
2017,May,16,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.88
2017,May,16,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.9
2017,May,16,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.01
2017,May,16,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.01
2017,May,16,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.01
2017,May,16,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.04
2017,May,16,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.93
2017,May,16,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.84
2017,May,16,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.38
2017,May,16,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.21
2017,May,16,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.6
2017,May,16,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.07
2017,May,16,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.94
2017,May,16,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.15
2017,May,16,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.04
2017,May,16,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.81
2017,May,16,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.39
2017,May,16,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.97
2017,May,16,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.68
2017,May,16,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.37
2017,May,17,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.05
2017,May,17,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.45
2017,May,17,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.19
2017,May,17,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.96
2017,May,17,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.87
2017,May,17,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.75
2017,May,17,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.61
2017,May,17,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.84
2017,May,17,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.42
2017,May,17,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.05
2017,May,17,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.43
2017,May,17,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.39
2017,May,17,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.55
2017,May,17,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.35
2017,May,17,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.96
2017,May,17,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.71
2017,May,17,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.77
2017,May,17,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.88
2017,May,17,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.9
2017,May,17,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.03
2017,May,17,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.08
2017,May,17,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.77
2017,May,17,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.12
2017,May,17,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.65
2017,May,18,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.22
2017,May,18,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.66
2017,May,18,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.65
2017,May,18,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.91
2017,May,18,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.07
2017,May,18,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.01
2017,May,18,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.79
2017,May,18,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.76
2017,May,18,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.08
2017,May,18,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.69
