,timestamp,id,metadata_id,consumption,meter_reading
40088,2016-12-05 06:30:00,176,102,20,5508585
40126,2016-12-05 08:30:00,180,102,33,5508682
40164,2016-12-05 10:30:00,184,102,45,5508831
40210,2016-12-06 05:30:00,222,102,16,5510157
40248,2016-12-06 07:30:00,226,102,22,5510237
40286,2016-12-06 09:30:00,230,102,44,5510361
40324,2016-12-06 11:30:00,234,102,53,5510557
40356,2016-12-06 05:00:00,221,102,14,5510143
40394,2016-12-06 07:00:00,225,102,24,5510213
40432,2016-12-06 09:00:00,229,102,38,5510323
40470,2016-12-06 11:00:00,233,102,52,5510505
40516,2016-12-05 12:30:00,188,102,52,5509021
40554,2016-12-05 14:30:00,192,102,52,5509224
40592,2016-12-05 16:30:00,196,102,54,5509433
40630,2016-12-05 18:30:00,200,102,44,5509638
40676,2016-12-06 13:30:00,238,102,56,5510770
40714,2016-12-06 15:30:00,242,102,55,5510985
40752,2016-12-06 17:30:00,246,102,53,5511207
40791,2016-12-06 19:30:00,250,102,43,5511402
40825,2016-12-05 20:30:00,204,102,33,5509794
40863,2016-12-05 22:30:00,208,102,27,5509918
40901,2016-12-06 00:30:00,212,102,14,5510008
40939,2016-12-06 02:30:00,216,102,15,5510069
40979,2016-12-06 13:00:00,237,102,55,5510715
41017,2016-12-06 15:00:00,241,102,50,5510935
41055,2016-12-06 17:00:00,245,102,53,5511154
41093,2016-12-06 19:00:00,249,102,44,5511358
41132,2016-12-06 21:00:00,253,102,34,5511520
41143,2016-12-06 21:30:00,254,102,34,5511554
41184,2016-12-06 23:30:00,258,102,21,5511670
41225,2016-12-07 01:30:00,262,102,13,5511731
41266,2016-12-07 03:30:00,266,102,12,5511782
41330,2016-12-06 23:00:00,257,102,24,5511646
41371,2016-12-07 01:00:00,261,102,13,5511718
41412,2016-12-07 03:00:00,265,102,12,5511770
41448,2016-12-06 04:30:00,220,102,14,5510129
41486,2016-12-06 06:30:00,224,102,23,5510190
41524,2016-12-06 08:30:00,228,102,35,5510288
41562,2016-12-06 10:30:00,232,102,52,5510453
41600,2016-12-06 12:30:00,236,102,55,5510660
41621,2016-12-07 05:30:00,270,102,14,5511831
41662,2016-12-07 07:30:00,274,102,21,5511897
41703,2016-12-07 09:30:00,278,102,41,5512016
41744,2016-12-07 11:30:00,282,102,50,5512194
41767,2016-12-07 05:00:00,269,102,12,5511819
41808,2016-12-07 07:00:00,273,102,21,5511876
41849,2016-12-07 09:00:00,277,102,37,5511979
41890,2016-12-07 11:00:00,281,102,47,5512147
41952,2016-12-06 14:30:00,240,102,54,5510881
41990,2016-12-06 16:30:00,244,102,57,5511097
42029,2016-12-06 18:30:00,248,102,48,5511310
42068,2016-12-06 20:30:00,252,102,37,5511483
42099,2016-12-07 13:30:00,286,102,52,5512394
42140,2016-12-07 15:30:00,290,102,50,5512602
42181,2016-12-07 17:30:00,294,102,45,5512800
42222,2016-12-07 19:30:00,298,102,40,5512972
42265,2016-12-06 22:30:00,256,102,27,5511619
42306,2016-12-07 00:30:00,260,102,13,5511705
42347,2016-12-07 02:30:00,264,102,13,5511757
42388,2016-12-07 04:30:00,268,102,13,5511806
42402,2016-12-07 13:00:00,285,102,50,5512344
42443,2016-12-07 15:00:00,289,102,50,5512552
42484,2016-12-07 17:00:00,293,102,48,5512752
42525,2016-12-07 19:00:00,297,102,42,5512930
42577,2016-12-07 21:30:00,302,102,28,5513108
42618,2016-12-07 23:30:00,306,102,21,5513212
